SpeciesID,Date,RegionID,RegionName,Source(s),Site Location,Latitude,Longitude
159113,1908,m010,1st Record? Woods Hole/MA/Vineyard Sound, Sumner et al. 1913,1st record? woods hole ma vineyard sound,41.529306,-70.6686769
159113,1880,m020,Off Beaver Tail Light/RI/Narragansett Bay, USNM 3818,off beaver tail light ri,41.4497566,-71.3992767
159113,2000,m020,Fall River/MA/Mount Hope Bay, MIT Sea Grant 2003,fall river ma,41.6856475,-71.1053515
159113,2019,m023,"Point Judith Marina, Wakefield/RI/Point Judith Pond", Pederson et al. 202,"point judith marina, wakefield ri point judith pond",41.3874816,-71.5172653
159113,Unknown Date,m040,NY-CT/Long Island Sound,MIT Sea Grant 2003,ny-ct long island sound,33.2234095,-79.7110675
159113,Unknown Date,m040,Groton/CT/Fishers Island Sound,Osman and Whitlach 1995,groton ct fishers island sound,41.338498,-72.0279266
159113,Unknown Date,m090,NJ-DE/Delaware Bay-Atlantic Ocean,Plough 1978,nj-de,40.8841375,-74.48623
159113,1882,n185,"Nantucket Shoals, South Of/MA/Atlantic Ocean", 40 N,"nantucket shoals, south of ma",41.1833327,-69.8
