SpeciesID,Date,RegionID,RegionName,Source(s),Site Location,Latitude,Longitude
159113,2013-2014,na-et1,Narystown//Newfoundland/Placentia Bay, McKenzie et al. 2016,narystown  newfoundland,47.1660718,-55.1658573
159113,Unknown Date,na-et1,"""off Nova Scotia""/Atlantic Ocean, 44 26N, 62 10W",Van Name 1912,"""off nova scotia""",45.3077481,-63.028289
159113,1885,na-et1,"Halifax, East Of/Nova Scotia/Atlantic Ocean", USNM 3471,"halifax, east of nova scotia",44.646189,-63.6328975
159113,1997,na-et1,mussel farms at Lunenberg/Nova Scotia/Lunenberg Bay, Carver et al. 2003,mussel farms at lunenberg nova scotia,33.6951047,-117.7959709
159113,Unknown Date,na-et1,Indian Point Mussel Farms/Nova Scotia/Mahone Bay,Daigle and Herbinger 2009,indian point mussel farms nova scotia,45.8856726,-60.2941222
159113,2012,na-et1,Buirn/Newfoundland/Placentia Bay, Sargent et al. 2012,buirn newfoundland,33.6951047,-117.7959709
159113,2012,na-et1,Little Bay/Newfoundland/Placentia Bay, Sargent et al. 2012,little bay newfoundland,49.5987844,-55.9527316
159113,2012,na-et1,St. Pierre and Miquelon/France/St. Pierre Harbor/Atlantic Ocean, Sargent et al. 2012,st. pierre and miquelon france st. pierre harbor,46.7795156,-56.173716
159113,43.76Âº ?65.32Âº,na-et1,Shelburne/Nova Scotia/Shelburne Harbor, Hudson et al. 2019,shelburne nova scotia shelburne harbor,43.7585928,-65.3210522
