SpeciesID,Date,RegionID,RegionName,Source(s),Site Location,Latitude,Longitude
159113,1868,n010,Eastport/ME/Passamaquoddy Bay, C. intestinalis tenella,eastport me,44.9131425,-67.0104956
159113,Unknown Date,n070,Pemaquid Oyster Company and Pemaquid Mussel Farms/ME/Damariscotta Ruver,Bullard et al. 2015,pemaquid oyster company and pemaquid mussel farms me damariscotta ruver,43.9507496,-69.5490693
159113,1873,n100,ME/Casco Bay, USNM 3472,me casco bay,43.6580304,-70.0343108
159113,2018,n130,"University of New Hampshire, Coastal Marine Laboratory, Poertsmouth/NH/Great Bay", Commonwealth of Massachusetts,"university of new hampshire, coastal marine laboratory, poertsmouth nh",43.138948,-70.9370252
159113,Unknown Date,n135,Isles of shoals/NH/Gulf of Maine,Van Name 1912,isles of shoals nh gulf of maine,42.9869645,-70.6144028
159113,Unknown Date,n165,"Eastern Point, Gloucester/MA/Gulf of Maine",Van Name 1912,"eastern point, gloucester ma gulf of maine",42.5802204,-70.6645342
159113,1879,n180,"Race Point, Off Light, Povincetown/MA/Cape Cod Bay", USNM 3651,"race point, off light, povincetown ma",42.0799414,-70.219717
