"Taxonomic Group","Name","Year","Invasion Status","Population Status","Vectors"
"Algae","Antithamnion sparsum*","2021","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Bonnemaisonia hamifera","1957","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Codium fragile ssp. Fragile","1991","Non-native","Established","Hull Fouling, Natural Dispersal"
"Algae","Colpomenia peregrina*","1960","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Dasysiphonia japonica","2012","Non-native","Established","Ballast Water, Hull Fouling, Natural Dispersal"
"Algae","Dumontia contorta*","1957","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Fucus serratus*","1931","Non-native","Established","Dry Ballast, Hull Fouling"
"Algae","Furcellaria lumbricalis*","1853","Non-native","Established","Hull Fouling"
"Algae","Leptosiphonia brodiei*","1971","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Melanosiphon intestinalis*","1977","Non-native","Established","None"
"Algae","Striaria attenuata*","1973","Non-native","Established","Hull Fouling, Natural Dispersal"
"Algae","Ulonema rhizophorum*","1969","Non-native","Established","Hull Fouling"
"Annelids-Polychaetes","Hediste diversicolor","None","Non-native","Established","Ballast Water, Dry Ballast"
"Arthropoda-Insects","Petrobius brevistylis*","1969","Non-native","Established","Cargo, Dry Ballast"
"Arthropoda-Insects","Telmatogeton japonicus*","1994","Non-native","Established","Cargo, Hull Fouling"
"Bryozoans","Juxtacribrilina mutabilis","2013","Non-native","Established","None"
"Bryozoans","Membranipora membranacea","1992","Non-native","Established","Ballast Water, Hull Fouling, Natural Dispersal"
"Cnidarians-Anthozoans","Diadumene lineata","2013","Non-native","Established","Hull Fouling"
"Crustaceans-Amphipods","Caprella mutica","2010","Non-native","Established","Ballast Water, Fisheries Accidental (not Oyster), Hull Fouling"
"Crustaceans-Amphipods","Orchestia gammarellus","1973","Non-native","Established","None"
"Crustaceans-Crabs","Carcinus maenas","1960","Non-native","Established","Ballast Water, Discarded Bait, Hull Fouling, Natural Dispersal"
"Crustaceans-Mysids","Praunus flexuosus","1980","Non-native","Established","Ballast Water, Natural Dispersal"
"Fishes","Salmo trutta*","1884","Non-native","Established","None"
"Mollusks-Bivalves","Ostrea edulis","1969","Non-native","Established","Oyster Intentional"
"Mollusks-Bivalves","Teredo navalis","1882","Non-native","Established","Ballast Water, Hull Fouling, Natural Dispersal"
"Mollusks-Gastropods","Littorina littorea","1857","Non-native","Established","Dry Ballast, Hull Fouling, Natural Dispersal"
"Mollusks-Gastropods","Myosotella myosotis","1960","Non-native","Established","Cargo, Dry Ballast"
"Nematodes","Anguillicola crassus*","2007","Non-native","Established","Ballast Water, Fisheries Accidental (not Oyster), Natural Dispersal"
"Platyhelminthes","Convoluta convoluta*","1995","Non-native","Established","Ballast Water, Hull Fouling"
"Platyhelminthes","Cryptocotyle lingua*","2005","Non-native","Established","Dry Ballast, Fisheries Accidental (not Oyster), Fisheries Intentional, Hull Fouling, Natural Dispersal"
"Protozoans","Haplosporidium nelsoni*","2002","Non-native","Established","Hull Fouling, Natural Dispersal, Oyster Accidental"
"Tunicates","Ascidiella aspersa","2012","Non-native","Established","Hull Fouling"
"Tunicates","Botrylloides violaceus","2007","Non-native","Established","Fisheries Accidental (not Oyster), Hull Fouling"
"Tunicates","Botryllus schlosseri","2006","Non-native","Established","Fisheries Accidental (not Oyster), Hull Fouling"
"Tunicates","Ciona intestinalis","1885","Non-native","Established","Hull Fouling"
"Tunicates","Styela clava","2012","Non-native","Established","Fisheries Accidental (not Oyster), Hull Fouling"
